full_text,Filtering,Case_Folding,Tokenizing,Stemming,Stopwords_Removal,clean_text
Konsisten consume magnesium glycinate say no more to otak bising &amp; badan penat. Anxious? Overthinking? Insomnia? NO MOREEE!!! Badan jadi lagi tense &amp; fresh 3 BULAN JEEE PLEASE CONSUME 3 BULAN JEE even pharmacist pun berharap benda yang sama tau ️ https://t.co/zO8GLJCSHJ https://t.co/NfTqR68Z0I,Konsisten consume magnesium glycinate say no more to otak bising amp badan penat Anxious Overthinking Insomnia NO MOREEE Badan jadi lagi tense amp fresh  BULAN JEEE PLEASE CONSUME  BULAN JEE even pharmacist pun berharap benda yang sama tau   ,konsisten consume magnesium glycinate say no more to otak bising amp badan penat anxious overthinking insomnia no moreee badan jadi lagi tense amp fresh  bulan jeee please consume  bulan jee even pharmacist pun berharap benda yang sama tau   ,"['konsisten', 'consume', 'magnesium', 'glycinate', 'say', 'no', 'more', 'to', 'otak', 'bising', 'amp', 'badan', 'penat', 'anxious', 'overthinking', 'insomnia', 'no', 'moreee', 'badan', 'jadi', 'lagi', 'tense', 'amp', 'fresh', 'bulan', 'jeee', 'please', 'consume', 'bulan', 'jee', 'even', 'pharmacist', 'pun', 'berharap', 'benda', 'yang', 'sama', 'tau']","['konsisten', 'consume', 'magnesium', 'glycinate', 'say', 'no', 'more', 'to', 'otak', 'bising', 'amp', 'badan', 'penat', 'anxious', 'overthinking', 'insomnia', 'no', 'moreee', 'badan', 'jadi', 'lagi', 'tense', 'amp', 'fresh', 'bulan', 'jeee', 'please', 'consume', 'bulan', 'jee', 'even', 'pharmacist', 'pun', 'harap', 'benda', 'yang', 'sama', 'tau']","['konsisten', 'consume', 'magnesium', 'glycinate', 'say', 'no', 'more', 'to', 'otak', 'bising', 'amp', 'badan', 'penat', 'anxious', 'overthinking', 'insomnia', 'no', 'moreee', 'badan', 'tense', 'amp', 'fresh', 'bulan', 'jeee', 'please', 'consume', 'bulan', 'jee', 'even', 'pharmacist', 'pun', 'harap', 'benda', 'sama', 'tau']","['konsisten', 'consume', 'magnesium', 'glycinate', 'say', 'no', 'more', 'to', 'otak', 'bising', 'amp', 'badan', 'penat', 'anxious', 'overthinking', 'insomnia', 'no', 'moreee', 'badan', 'tense', 'amp', 'fresh', 'bulan', 'jeee', 'please', 'consume', 'bulan', 'jee', 'even', 'pharmacist', 'pun', 'harap', 'benda', 'sama', 'tau']"
kalo tengah malam insomnia malah session planning hidup sampai krisis eksistensial,kalo tengah malam insomnia malah session planning hidup sampai krisis eksistensial,kalo tengah malam insomnia malah session planning hidup sampai krisis eksistensial,"['kalo', 'tengah', 'malam', 'insomnia', 'malah', 'session', 'planning', 'hidup', 'sampai', 'krisis', 'eksistensial']","['kalo', 'tengah', 'malam', 'insomnia', 'malah', 'session', 'planning', 'hidup', 'sampai', 'krisis', 'eksistensial']","['kalo', 'tengah', 'malam', 'insomnia', 'malah', 'session', 'planning', 'hidup', 'sampai', 'krisis', 'eksistensial']","['kalo', 'tengah', 'malam', 'insomnia', 'malah', 'session', 'planning', 'hidup', 'sampai', 'krisis', 'eksistensial']"
Gw jujur gakkan mau ambil karena itu pasti bisa jadi bahan blackmailing. Gw udah punya insomnia apalagi nerima duit panas kayak gini,Gw jujur gakkan mau ambil karena itu pasti bisa jadi bahan blackmailing Gw udah punya insomnia apalagi nerima duit panas kayak gini,gw jujur gakkan mau ambil karena itu pasti bisa jadi bahan blackmailing gw udah punya insomnia apalagi nerima duit panas kayak gini,"['gw', 'jujur', 'gakkan', 'mau', 'ambil', 'karena', 'itu', 'pasti', 'bisa', 'jadi', 'bahan', 'blackmailing', 'gw', 'udah', 'punya', 'insomnia', 'apalagi', 'nerima', 'duit', 'panas', 'kayak', 'gini']","['gw', 'jujur', 'gakkan', 'mau', 'ambil', 'karena', 'itu', 'pasti', 'bisa', 'jadi', 'bahan', 'blackmailing', 'gw', 'udah', 'punya', 'insomnia', 'apalagi', 'nerima', 'duit', 'panas', 'kayak', 'gin']","['gw', 'jujur', 'gakkan', 'mau', 'ambil', 'pasti', 'bisa', 'bahan', 'blackmailing', 'gw', 'udah', 'punya', 'insomnia', 'apalagi', 'nerima', 'duit', 'panas', 'kayak', 'gin']","['gw', 'jujur', 'gakkan', 'mau', 'ambil', 'pasti', 'bisa', 'bahan', 'blackmailing', 'gw', 'udah', 'punya', 'insomnia', 'apalagi', 'nerima', 'duit', 'panas', 'kayak', 'gin']"
Accidentally Added a Wealthy Old Man by Song Jiuyin 100ch Drama School Life Yaoi HE Age gap 10 tahun. Diabaikan oleh keluarga angkatnya dan dibuang oleh keluarga kandungnya menjadi penyebab MC insomnia. MC hanya bisa tidur jika ML membacakannya cerita dongeng. https://t.co/fx2Tp6jLRP,Accidentally Added a Wealthy Old Man by Song Jiuyin ch Drama School Life Yaoi HE Age gap  tahun Diabaikan oleh keluarga angkatnya dan dibuang oleh keluarga kandungnya menjadi penyebab MC insomnia MC hanya bisa tidur jika ML membacakannya cerita dongeng ,accidentally added a wealthy old man by song jiuyin ch drama school life yaoi he age gap  tahun diabaikan oleh keluarga angkatnya dan dibuang oleh keluarga kandungnya menjadi penyebab mc insomnia mc hanya bisa tidur jika ml membacakannya cerita dongeng ,"['accidentally', 'added', 'a', 'wealthy', 'old', 'man', 'by', 'song', 'jiuyin', 'ch', 'drama', 'school', 'life', 'yaoi', 'he', 'age', 'gap', 'tahun', 'diabaikan', 'oleh', 'keluarga', 'angkatnya', 'dan', 'dibuang', 'oleh', 'keluarga', 'kandungnya', 'menjadi', 'penyebab', 'mc', 'insomnia', 'mc', 'hanya', 'bisa', 'tidur', 'jika', 'ml', 'membacakannya', 'cerita', 'dongeng']","['accidentally', 'added', 'a', 'wealthy', 'old', 'man', 'by', 'song', 'jiuyin', 'ch', 'drama', 'school', 'life', 'yaoi', 'he', 'age', 'gap', 'tahun', 'abai', 'oleh', 'keluarga', 'angkat', 'dan', 'buang', 'oleh', 'keluarga', 'kandung', 'jadi', 'sebab', 'mc', 'insomnia', 'mc', 'hanya', 'bisa', 'tidur', 'jika', 'ml', 'baca', 'cerita', 'dongeng']","['accidentally', 'added', 'a', 'wealthy', 'old', 'man', 'by', 'song', 'jiuyin', 'ch', 'drama', 'school', 'life', 'yaoi', 'he', 'age', 'gap', 'tahun', 'abai', 'keluarga', 'angkat', 'buang', 'keluarga', 'kandung', 'sebab', 'mc', 'insomnia', 'mc', 'hanya', 'bisa', 'tidur', 'jika', 'ml', 'baca', 'cerita', 'dongeng']","['accidentally', 'added', 'a', 'wealthy', 'old', 'man', 'by', 'song', 'jiuyin', 'ch', 'drama', 'school', 'life', 'yaoi', 'he', 'age', 'gap', 'tahun', 'abai', 'keluarga', 'angkat', 'buang', 'keluarga', 'kandung', 'sebab', 'mc', 'insomnia', 'mc', 'hanya', 'bisa', 'tidur', 'jika', 'ml', 'baca', 'cerita', 'dongeng']"
@UpiRaharjo @OngkoRobby12198 @xendless_s Gue masa remaja yang sering begadang krna ngoding nyengir doang bro.. banyak kasus insomnia pada remaja.,   Gue masa remaja yang sering begadang krna ngoding nyengir doang bro banyak kasus insomnia pada remaja,   gue masa remaja yang sering begadang krna ngoding nyengir doang bro banyak kasus insomnia pada remaja,"['gue', 'masa', 'remaja', 'yang', 'sering', 'begadang', 'krna', 'ngoding', 'nyengir', 'doang', 'bro', 'banyak', 'kasus', 'insomnia', 'pada', 'remaja']","['gue', 'masa', 'remaja', 'yang', 'sering', 'begadang', 'krna', 'ngoding', 'nyengir', 'doang', 'bro', 'banyak', 'kasus', 'insomnia', 'pada', 'remaja']","['gue', 'masa', 'remaja', 'sering', 'begadang', 'krna', 'ngoding', 'nyengir', 'doang', 'bro', 'banyak', 'kasus', 'insomnia', 'remaja']","['gue', 'masa', 'remaja', 'sering', 'begadang', 'krna', 'ngoding', 'nyengir', 'doang', 'bro', 'banyak', 'kasus', 'insomnia', 'remaja']"
oalah ming ming semoga ga di rujak pas insomnia zero yh kmu,oalah ming ming semoga ga di rujak pas insomnia zero yh kmu,oalah ming ming semoga ga di rujak pas insomnia zero yh kmu,"['oalah', 'ming', 'ming', 'semoga', 'ga', 'di', 'rujak', 'pas', 'insomnia', 'zero', 'yh', 'kmu']","['oalah', 'ming', 'ming', 'moga', 'ga', 'di', 'rujak', 'pas', 'insomnia', 'zero', 'yh', 'kmu']","['oalah', 'ming', 'ming', 'moga', 'ga', 'rujak', 'pas', 'insomnia', 'zero', 'yh', 'kmu']","['oalah', 'ming', 'ming', 'moga', 'ga', 'rujak', 'pas', 'insomnia', 'zero', 'yh', 'kmu']"
Insomnia ini membunuhku Kapan bisa tidur nyenyak lagi kek dl yaaa...,Insomnia ini membunuhku Kapan bisa tidur nyenyak lagi kek dl yaaa,insomnia ini membunuhku kapan bisa tidur nyenyak lagi kek dl yaaa,"['insomnia', 'ini', 'membunuhku', 'kapan', 'bisa', 'tidur', 'nyenyak', 'lagi', 'kek', 'dl', 'yaaa']","['insomnia', 'ini', 'bunuh', 'kapan', 'bisa', 'tidur', 'nyenyak', 'lagi', 'kek', 'dl', 'yaaa']","['insomnia', 'bunuh', 'kapan', 'bisa', 'tidur', 'nyenyak', 'kek', 'dl', 'yaaa']","['insomnia', 'bunuh', 'kapan', 'bisa', 'tidur', 'nyenyak', 'kek', 'dl', 'yaaa']"
ada yg namanya insomnia om,ada yg namanya insomnia om,ada yg namanya insomnia om,"['ada', 'yg', 'namanya', 'insomnia', 'om']","['ada', 'yg', 'nama', 'insomnia', 'om']","['yg', 'nama', 'insomnia', 'om']","['yg', 'nama', 'insomnia', 'om']"
@UpiRaharjo @semurbetawi_ @xendless_s emang remaja ga ada yg insomnia?,   emang remaja ga ada yg insomnia,   emang remaja ga ada yg insomnia,"['emang', 'remaja', 'ga', 'ada', 'yg', 'insomnia']","['emang', 'remaja', 'ga', 'ada', 'yg', 'insomnia']","['emang', 'remaja', 'ga', 'yg', 'insomnia']","['emang', 'remaja', 'ga', 'yg', 'insomnia']"
Tertidur hanya untuk bermimpi hal yang tidak baik sepertinya menjadi insomnia lebih menarik. Apalagi jadi surya insomnia,Tertidur hanya untuk bermimpi hal yang tidak baik sepertinya menjadi insomnia lebih menarik Apalagi jadi surya insomnia,tertidur hanya untuk bermimpi hal yang tidak baik sepertinya menjadi insomnia lebih menarik apalagi jadi surya insomnia,"['tertidur', 'hanya', 'untuk', 'bermimpi', 'hal', 'yang', 'tidak', 'baik', 'sepertinya', 'menjadi', 'insomnia', 'lebih', 'menarik', 'apalagi', 'jadi', 'surya', 'insomnia']","['tidur', 'hanya', 'untuk', 'mimpi', 'hal', 'yang', 'tidak', 'baik', 'seperti', 'jadi', 'insomnia', 'lebih', 'tarik', 'apalagi', 'jadi', 'surya', 'insomnia']","['tidur', 'hanya', 'mimpi', 'hal', 'baik', 'seperti', 'insomnia', 'lebih', 'tarik', 'apalagi', 'surya', 'insomnia']","['tidur', 'hanya', 'mimpi', 'hal', 'baik', 'seperti', 'insomnia', 'lebih', 'tarik', 'apalagi', 'surya', 'insomnia']"
Promosi last dance minggu pertama udah kelar semoga minggu kedua dapet insomnia live band https://t.co/z4Z3bysttd,Promosi last dance minggu pertama udah kelar semoga minggu kedua dapet insomnia live band ,promosi last dance minggu pertama udah kelar semoga minggu kedua dapet insomnia live band ,"['promosi', 'last', 'dance', 'minggu', 'pertama', 'udah', 'kelar', 'semoga', 'minggu', 'kedua', 'dapet', 'insomnia', 'live', 'band']","['promosi', 'last', 'dance', 'minggu', 'pertama', 'udah', 'kelar', 'moga', 'minggu', 'dua', 'dapet', 'insomnia', 'live', 'band']","['promosi', 'last', 'dance', 'minggu', 'pertama', 'udah', 'kelar', 'moga', 'minggu', 'dua', 'dapet', 'insomnia', 'live', 'band']","['promosi', 'last', 'dance', 'minggu', 'pertama', 'udah', 'kelar', 'moga', 'minggu', 'dua', 'dapet', 'insomnia', 'live', 'band']"
@pujonoimam @xendless_s Pernyataan Kepala BNN itu menyoroti salah satu tanda potensial paparan narkoba pada remaja tapi pola tidur malam-aktif dan pagi-tidur bisa disebabkan faktor lain seperti belajar kerja shift atau insomnia. Jangan buru-buru simpulkan perhatikan tanda lain seperti perubahan,  Pernyataan Kepala BNN itu menyoroti salah satu tanda potensial paparan narkoba pada remaja tapi pola tidur malamaktif dan pagitidur bisa disebabkan faktor lain seperti belajar kerja shift atau insomnia Jangan buruburu simpulkan perhatikan tanda lain seperti perubahan,  pernyataan kepala bnn itu menyoroti salah satu tanda potensial paparan narkoba pada remaja tapi pola tidur malamaktif dan pagitidur bisa disebabkan faktor lain seperti belajar kerja shift atau insomnia jangan buruburu simpulkan perhatikan tanda lain seperti perubahan,"['pernyataan', 'kepala', 'bnn', 'itu', 'menyoroti', 'salah', 'satu', 'tanda', 'potensial', 'paparan', 'narkoba', 'pada', 'remaja', 'tapi', 'pola', 'tidur', 'malamaktif', 'dan', 'pagitidur', 'bisa', 'disebabkan', 'faktor', 'lain', 'seperti', 'belajar', 'kerja', 'shift', 'atau', 'insomnia', 'jangan', 'buruburu', 'simpulkan', 'perhatikan', 'tanda', 'lain', 'seperti', 'perubahan']","['nyata', 'kepala', 'bnn', 'itu', 'sorot', 'salah', 'satu', 'tanda', 'potensial', 'papar', 'narkoba', 'pada', 'remaja', 'tapi', 'pola', 'tidur', 'malamaktif', 'dan', 'pagitidur', 'bisa', 'sebab', 'faktor', 'lain', 'seperti', 'ajar', 'kerja', 'shift', 'atau', 'insomnia', 'jangan', 'buruburu', 'simpul', 'perhati', 'tanda', 'lain', 'seperti', 'ubah']","['nyata', 'kepala', 'bnn', 'sorot', 'salah', 'satu', 'tanda', 'potensial', 'papar', 'narkoba', 'remaja', 'tapi', 'pola', 'tidur', 'malamaktif', 'pagitidur', 'bisa', 'sebab', 'faktor', 'lain', 'seperti', 'ajar', 'kerja', 'shift', 'insomnia', 'jangan', 'buruburu', 'simpul', 'perhati', 'tanda', 'lain', 'seperti', 'ubah']","['nyata', 'kepala', 'bnn', 'sorot', 'salah', 'satu', 'tanda', 'potensial', 'papar', 'narkoba', 'remaja', 'tapi', 'pola', 'tidur', 'malamaktif', 'pagitidur', 'bisa', 'sebab', 'faktor', 'lain', 'seperti', 'ajar', 'kerja', 'shift', 'insomnia', 'jangan', 'buruburu', 'simpul', 'perhati', 'tanda', 'lain', 'seperti', 'ubah']"
gue yg insomnia ini kek penyabu kah,gue yg insomnia ini kek penyabu kah,gue yg insomnia ini kek penyabu kah,"['gue', 'yg', 'insomnia', 'ini', 'kek', 'penyabu', 'kah']","['gue', 'yg', 'insomnia', 'ini', 'kek', 'penyabu', 'kah']","['gue', 'yg', 'insomnia', 'kek', 'penyabu', 'kah']","['gue', 'yg', 'insomnia', 'kek', 'penyabu', 'kah']"
waduh gw pelaku tapi lingkungan gw emang pada suka minjem duit. jadi gw sengaja.,waduh gw pelaku tapi lingkungan gw emang pada suka minjem duit jadi gw sengaja,waduh gw pelaku tapi lingkungan gw emang pada suka minjem duit jadi gw sengaja,"['waduh', 'gw', 'pelaku', 'tapi', 'lingkungan', 'gw', 'emang', 'pada', 'suka', 'minjem', 'duit', 'jadi', 'gw', 'sengaja']","['waduh', 'gw', 'laku', 'tapi', 'lingkung', 'gw', 'emang', 'pada', 'suka', 'minjem', 'duit', 'jadi', 'gw', 'sengaja']","['waduh', 'gw', 'laku', 'tapi', 'lingkung', 'gw', 'emang', 'suka', 'minjem', 'duit', 'gw', 'sengaja']","['waduh', 'gw', 'laku', 'tapi', 'lingkung', 'gw', 'emang', 'suka', 'minjem', 'duit', 'gw', 'sengaja']"
Anjir pekerja shift malam dibilang make orang insomnia dibilang make . Kalo ngomong itu dipikir dulu mas.,Anjir pekerja shift malam dibilang make orang insomnia dibilang make  Kalo ngomong itu dipikir dulu mas,anjir pekerja shift malam dibilang make orang insomnia dibilang make  kalo ngomong itu dipikir dulu mas,"['anjir', 'pekerja', 'shift', 'malam', 'dibilang', 'make', 'orang', 'insomnia', 'dibilang', 'make', 'kalo', 'ngomong', 'itu', 'dipikir', 'dulu', 'mas']","['anjir', 'kerja', 'shift', 'malam', 'bilang', 'make', 'orang', 'insomnia', 'bilang', 'make', 'kalo', 'ngomong', 'itu', 'pikir', 'dulu', 'mas']","['anjir', 'kerja', 'shift', 'malam', 'bilang', 'make', 'orang', 'insomnia', 'bilang', 'make', 'kalo', 'ngomong', 'pikir', 'dulu', 'mas']","['anjir', 'kerja', 'shift', 'malam', 'bilang', 'make', 'orang', 'insomnia', 'bilang', 'make', 'kalo', 'ngomong', 'pikir', 'dulu', 'mas']"
Gila deh insomnia gue kyknya beneran udh parah hari ini flight malah gabisa tidur samsek malemnya gatau kenapa gue kalo tidur sm org lain jg waktu itu sodara gue pada nginep gabisa tidur jg padahal space kasur gue masih oke bgt gimana caranya tidur deh frustasi jir,Gila deh insomnia gue kyknya beneran udh parah hari ini flight malah gabisa tidur samsek malemnya gatau kenapa gue kalo tidur sm org lain jg waktu itu sodara gue pada nginep gabisa tidur jg padahal space kasur gue masih oke bgt gimana caranya tidur deh frustasi jir,gila deh insomnia gue kyknya beneran udh parah hari ini flight malah gabisa tidur samsek malemnya gatau kenapa gue kalo tidur sm org lain jg waktu itu sodara gue pada nginep gabisa tidur jg padahal space kasur gue masih oke bgt gimana caranya tidur deh frustasi jir,"['gila', 'deh', 'insomnia', 'gue', 'kyknya', 'beneran', 'udh', 'parah', 'hari', 'ini', 'flight', 'malah', 'gabisa', 'tidur', 'samsek', 'malemnya', 'gatau', 'kenapa', 'gue', 'kalo', 'tidur', 'sm', 'org', 'lain', 'jg', 'waktu', 'itu', 'sodara', 'gue', 'pada', 'nginep', 'gabisa', 'tidur', 'jg', 'padahal', 'space', 'kasur', 'gue', 'masih', 'oke', 'bgt', 'gimana', 'caranya', 'tidur', 'deh', 'frustasi', 'jir']","['gila', 'deh', 'insomnia', 'gue', 'kyknya', 'beneran', 'udh', 'parah', 'hari', 'ini', 'flight', 'malah', 'gabisa', 'tidur', 'samsek', 'malemnya', 'gatau', 'kenapa', 'gue', 'kalo', 'tidur', 'sm', 'org', 'lain', 'jg', 'waktu', 'itu', 'sodara', 'gue', 'pada', 'nginep', 'gabisa', 'tidur', 'jg', 'padahal', 'space', 'kasur', 'gue', 'masih', 'oke', 'bgt', 'gimana', 'cara', 'tidur', 'deh', 'frustasi', 'jir']","['gila', 'deh', 'insomnia', 'gue', 'kyknya', 'beneran', 'udh', 'parah', 'hari', 'flight', 'malah', 'gabisa', 'tidur', 'samsek', 'malemnya', 'gatau', 'kenapa', 'gue', 'kalo', 'tidur', 'sm', 'org', 'lain', 'jg', 'waktu', 'sodara', 'gue', 'nginep', 'gabisa', 'tidur', 'jg', 'padahal', 'space', 'kasur', 'gue', 'masih', 'oke', 'bgt', 'gimana', 'cara', 'tidur', 'deh', 'frustasi', 'jir']","['gila', 'deh', 'insomnia', 'gue', 'kyknya', 'beneran', 'udh', 'parah', 'hari', 'flight', 'malah', 'gabisa', 'tidur', 'samsek', 'malemnya', 'gatau', 'kenapa', 'gue', 'kalo', 'tidur', 'sm', 'org', 'lain', 'jg', 'waktu', 'sodara', 'gue', 'nginep', 'gabisa', 'tidur', 'jg', 'padahal', 'space', 'kasur', 'gue', 'masih', 'oke', 'bgt', 'gimana', 'cara', 'tidur', 'deh', 'frustasi', 'jir']"
@xendless_s Pemuda bikin lamaran kerja latihan interview sampai malam pas interview gagal karena requirementnya yang aneh aneh agak depresi insomnia pagi baru bisa tidur (kamu narkoboy) , Pemuda bikin lamaran kerja latihan interview sampai malam pas interview gagal karena requirementnya yang aneh aneh agak depresi insomnia pagi baru bisa tidur kamu narkoboy , pemuda bikin lamaran kerja latihan interview sampai malam pas interview gagal karena requirementnya yang aneh aneh agak depresi insomnia pagi baru bisa tidur kamu narkoboy ,"['pemuda', 'bikin', 'lamaran', 'kerja', 'latihan', 'interview', 'sampai', 'malam', 'pas', 'interview', 'gagal', 'karena', 'requirementnya', 'yang', 'aneh', 'aneh', 'agak', 'depresi', 'insomnia', 'pagi', 'baru', 'bisa', 'tidur', 'kamu', 'narkoboy']","['pemuda', 'bikin', 'lamar', 'kerja', 'latih', 'interview', 'sampai', 'malam', 'pas', 'interview', 'gagal', 'karena', 'requirementnya', 'yang', 'aneh', 'aneh', 'agak', 'depresi', 'insomnia', 'pagi', 'baru', 'bisa', 'tidur', 'kamu', 'narkoboy']","['pemuda', 'bikin', 'lamar', 'kerja', 'latih', 'interview', 'sampai', 'malam', 'pas', 'interview', 'gagal', 'requirementnya', 'aneh', 'aneh', 'agak', 'depresi', 'insomnia', 'pagi', 'baru', 'bisa', 'tidur', 'narkoboy']","['pemuda', 'bikin', 'lamar', 'kerja', 'latih', 'interview', 'sampai', 'malam', 'pas', 'interview', 'gagal', 'requirementnya', 'aneh', 'aneh', 'agak', 'depresi', 'insomnia', 'pagi', 'baru', 'bisa', 'tidur', 'narkoboy']"
@kiaipetruk @xendless_s Tidak sepenuhnya benar. Menurut Kepala BNN pola aktif malam dan tidur pagi bisa jadi salah satu tanda remaja terpapar narkoba terutama stimulan yang sebabkan insomnia. Namun banyak remaja alami ini karena perubahan hormon alami sekolah atau layar gadget. Bukan tanda pasti;,  Tidak sepenuhnya benar Menurut Kepala BNN pola aktif malam dan tidur pagi bisa jadi salah satu tanda remaja terpapar narkoba terutama stimulan yang sebabkan insomnia Namun banyak remaja alami ini karena perubahan hormon alami sekolah atau layar gadget Bukan tanda pasti,  tidak sepenuhnya benar menurut kepala bnn pola aktif malam dan tidur pagi bisa jadi salah satu tanda remaja terpapar narkoba terutama stimulan yang sebabkan insomnia namun banyak remaja alami ini karena perubahan hormon alami sekolah atau layar gadget bukan tanda pasti,"['tidak', 'sepenuhnya', 'benar', 'menurut', 'kepala', 'bnn', 'pola', 'aktif', 'malam', 'dan', 'tidur', 'pagi', 'bisa', 'jadi', 'salah', 'satu', 'tanda', 'remaja', 'terpapar', 'narkoba', 'terutama', 'stimulan', 'yang', 'sebabkan', 'insomnia', 'namun', 'banyak', 'remaja', 'alami', 'ini', 'karena', 'perubahan', 'hormon', 'alami', 'sekolah', 'atau', 'layar', 'gadget', 'bukan', 'tanda', 'pasti']","['tidak', 'sepenuh', 'benar', 'turut', 'kepala', 'bnn', 'pola', 'aktif', 'malam', 'dan', 'tidur', 'pagi', 'bisa', 'jadi', 'salah', 'satu', 'tanda', 'remaja', 'papar', 'narkoba', 'utama', 'stimulan', 'yang', 'sebab', 'insomnia', 'namun', 'banyak', 'remaja', 'alami', 'ini', 'karena', 'ubah', 'hormon', 'alami', 'sekolah', 'atau', 'layar', 'gadget', 'bukan', 'tanda', 'pasti']","['sepenuh', 'benar', 'turut', 'kepala', 'bnn', 'pola', 'aktif', 'malam', 'tidur', 'pagi', 'bisa', 'salah', 'satu', 'tanda', 'remaja', 'papar', 'narkoba', 'utama', 'stimulan', 'sebab', 'insomnia', 'namun', 'banyak', 'remaja', 'alami', 'ubah', 'hormon', 'alami', 'sekolah', 'layar', 'gadget', 'tanda', 'pasti']","['sepenuh', 'benar', 'turut', 'kepala', 'bnn', 'pola', 'aktif', 'malam', 'tidur', 'pagi', 'bisa', 'salah', 'satu', 'tanda', 'remaja', 'papar', 'narkoba', 'utama', 'stimulan', 'sebab', 'insomnia', 'namun', 'banyak', 'remaja', 'alami', 'ubah', 'hormon', 'alami', 'sekolah', 'layar', 'gadget', 'tanda', 'pasti']"
@seisuiro Insomnia kah??, Insomnia kah, insomnia kah,"['insomnia', 'kah']","['insomnia', 'kah']","['insomnia', 'kah']","['insomnia', 'kah']"
Been struggling with insomnia lately 2 3 days no sleep terus kalau tidur cuma sejam langsung kebangun lagi ,Been struggling with insomnia lately   days no sleep terus kalau tidur cuma sejam langsung kebangun lagi ,been struggling with insomnia lately   days no sleep terus kalau tidur cuma sejam langsung kebangun lagi ,"['been', 'struggling', 'with', 'insomnia', 'lately', 'days', 'no', 'sleep', 'terus', 'kalau', 'tidur', 'cuma', 'sejam', 'langsung', 'kebangun', 'lagi']","['been', 'struggling', 'with', 'insomnia', 'lately', 'days', 'no', 'sleep', 'terus', 'kalau', 'tidur', 'cuma', 'jam', 'langsung', 'bangun', 'lagi']","['been', 'struggling', 'with', 'insomnia', 'lately', 'days', 'no', 'sleep', 'terus', 'kalau', 'tidur', 'cuma', 'jam', 'langsung', 'bangun']","['been', 'struggling', 'with', 'insomnia', 'lately', 'days', 'no', 'sleep', 'terus', 'kalau', 'tidur', 'cuma', 'jam', 'langsung', 'bangun']"
capek banget punya insomnia kaya gini,capek banget punya insomnia kaya gini,capek banget punya insomnia kaya gini,"['capek', 'banget', 'punya', 'insomnia', 'kaya', 'gini']","['capek', 'banget', 'punya', 'insomnia', 'kaya', 'gin']","['capek', 'banget', 'punya', 'insomnia', 'kaya', 'gin']","['capek', 'banget', 'punya', 'insomnia', 'kaya', 'gin']"
Haris Rauf Allah kry Tumhy insomnia ho jaye hnri neend barbad krdi hai :(,Haris Rauf Allah kry Tumhy insomnia ho jaye hnri neend barbad krdi hai ,haris rauf allah kry tumhy insomnia ho jaye hnri neend barbad krdi hai ,"['haris', 'rauf', 'allah', 'kry', 'tumhy', 'insomnia', 'ho', 'jaye', 'hnri', 'neend', 'barbad', 'krdi', 'hai']","['haris', 'rauf', 'allah', 'kry', 'tumhy', 'insomnia', 'ho', 'jaye', 'hnri', 'neend', 'barbad', 'krdi', 'hai']","['haris', 'rauf', 'allah', 'kry', 'tumhy', 'insomnia', 'ho', 'jaye', 'hnri', 'neend', 'barbad', 'krdi', 'hai']","['haris', 'rauf', 'allah', 'kry', 'tumhy', 'insomnia', 'ho', 'jaye', 'hnri', 'neend', 'barbad', 'krdi', 'hai']"
memanfaatkan insomnia dengan membuat ilustrasi mbg (makan beracun gratis) https://t.co/Kp9VvvotT8,memanfaatkan insomnia dengan membuat ilustrasi mbg makan beracun gratis ,memanfaatkan insomnia dengan membuat ilustrasi mbg makan beracun gratis ,"['memanfaatkan', 'insomnia', 'dengan', 'membuat', 'ilustrasi', 'mbg', 'makan', 'beracun', 'gratis']","['manfaat', 'insomnia', 'dengan', 'buat', 'ilustrasi', 'mbg', 'makan', 'racun', 'gratis']","['manfaat', 'insomnia', 'buat', 'ilustrasi', 'mbg', 'makan', 'racun', 'gratis']","['manfaat', 'insomnia', 'buat', 'ilustrasi', 'mbg', 'makan', 'racun', 'gratis']"
Apa yang kamu harapin dari orang insomnia,Apa yang kamu harapin dari orang insomnia,apa yang kamu harapin dari orang insomnia,"['apa', 'yang', 'kamu', 'harapin', 'dari', 'orang', 'insomnia']","['apa', 'yang', 'kamu', 'harapin', 'dari', 'orang', 'insomnia']","['apa', 'harapin', 'orang', 'insomnia']","['apa', 'harapin', 'orang', 'insomnia']"
Bingung dah.. Insomnia tapi kepikiran buat baca ulang au ini.. Setan pojok kamar gue juga ketawa kali..,Bingung dah Insomnia tapi kepikiran buat baca ulang au ini Setan pojok kamar gue juga ketawa kali,bingung dah insomnia tapi kepikiran buat baca ulang au ini setan pojok kamar gue juga ketawa kali,"['bingung', 'dah', 'insomnia', 'tapi', 'kepikiran', 'buat', 'baca', 'ulang', 'au', 'ini', 'setan', 'pojok', 'kamar', 'gue', 'juga', 'ketawa', 'kali']","['bingung', 'dah', 'insomnia', 'tapi', 'pikir', 'buat', 'baca', 'ulang', 'au', 'ini', 'setan', 'pojok', 'kamar', 'gue', 'juga', 'ketawa', 'kali']","['bingung', 'dah', 'insomnia', 'tapi', 'pikir', 'buat', 'baca', 'ulang', 'au', 'setan', 'pojok', 'kamar', 'gue', 'ketawa', 'kali']","['bingung', 'dah', 'insomnia', 'tapi', 'pikir', 'buat', 'baca', 'ulang', 'au', 'setan', 'pojok', 'kamar', 'gue', 'ketawa', 'kali']"
